"date","location","new_cases","new_deaths","total_cases","total_deaths","recover","total_recover","icu","support"
2019-12-31,"Malaysia",0,0,0,0,0,0,0,0
2020-01-01,"Malaysia",0,0,0,0,0,0,0,0
2020-01-02,"Malaysia",0,0,0,0,0,0,0,0
2020-01-03,"Malaysia",0,0,0,0,0,0,0,0
2020-01-04,"Malaysia",0,0,0,0,0,0,0,0
2020-01-05,"Malaysia",0,0,0,0,0,0,0,0
2020-01-06,"Malaysia",0,0,0,0,0,0,0,0
2020-01-07,"Malaysia",0,0,0,0,0,0,0,0
2020-01-08,"Malaysia",0,0,0,0,0,0,0,0
2020-01-09,"Malaysia",0,0,0,0,0,0,0,0
2020-01-10,"Malaysia",0,0,0,0,0,0,0,0
2020-01-11,"Malaysia",0,0,0,0,0,0,0,0
2020-01-12,"Malaysia",0,0,0,0,0,0,0,0
2020-01-13,"Malaysia",0,0,0,0,0,0,0,0
2020-01-14,"Malaysia",0,0,0,0,0,0,0,0
2020-01-15,"Malaysia",0,0,0,0,0,0,0,0
2020-01-16,"Malaysia",0,0,0,0,0,0,0,0
2020-01-17,"Malaysia",0,0,0,0,0,0,0,0
2020-01-18,"Malaysia",0,0,0,0,0,0,0,0
2020-01-19,"Malaysia",0,0,0,0,0,0,0,0
2020-01-20,"Malaysia",0,0,0,0,0,0,0,0
2020-01-21,"Malaysia",0,0,0,0,0,0,0,0
2020-01-22,"Malaysia",0,0,0,0,0,0,0,0
2020-01-23,"Malaysia",0,0,0,0,0,0,0,0
2020-01-24,"Malaysia",3,0,3,0,0,0,0,0
2020-01-25,"Malaysia",1,0,4,0,0,0,0,0
2020-01-26,"Malaysia",0,0,4,0,0,0,0,0
2020-01-27,"Malaysia",0,0,4,0,0,0,0,0
2020-01-28,"Malaysia",3,0,7,0,0,0,0,0
2020-01-29,"Malaysia",0,0,7,0,0,0,0,0
2020-01-30,"Malaysia",1,0,8,0,0,0,0,0
2020-01-31,"Malaysia",0,0,8,0,0,0,0,0
2020-02-01,"Malaysia",0,0,8,0,0,0,0,0
2020-02-02,"Malaysia",0,0,8,0,0,0,0,0
2020-02-03,"Malaysia",0,0,8,0,1,1,0,0
2020-02-04,"Malaysia",2,0,10,0,0,1,0,0
2020-02-05,"Malaysia",2,0,12,0,0,1,0,0
2020-02-06,"Malaysia",2,0,14,0,0,1,0,0
2020-02-07,"Malaysia",1,0,15,0,1,2,0,0
2020-02-08,"Malaysia",1,0,16,0,1,3,0,0
2020-02-09,"Malaysia",2,0,18,0,0,3,0,0
2020-02-10,"Malaysia",0,0,18,0,0,3,0,0
2020-02-11,"Malaysia",0,0,18,0,0,3,0,0
2020-02-12,"Malaysia",0,0,18,0,0,3,0,0
2020-02-13,"Malaysia",1,0,19,0,4,7,0,0
2020-02-14,"Malaysia",2,0,21,0,0,7,0,0
2020-02-15,"Malaysia",1,0,22,0,1,8,0,0
2020-02-16,"Malaysia",0,0,22,0,1,9,0,0
2020-02-17,"Malaysia",0,0,22,0,4,13,0,0
2020-02-18,"Malaysia",0,0,22,0,4,17,0,0
2020-02-19,"Malaysia",0,0,22,0,0,17,0,0
2020-02-20,"Malaysia",0,0,22,0,0,17,0,0
2020-02-21,"Malaysia",0,0,22,0,0,17,0,0
2020-02-22,"Malaysia",0,0,22,0,1,18,0,0
2020-02-23,"Malaysia",0,0,22,0,2,20,0,0
2020-02-24,"Malaysia",0,0,22,0,0,20,0,0
2020-02-25,"Malaysia",0,0,22,0,0,20,0,0
2020-02-26,"Malaysia",0,0,22,0,2,22,0,0
2020-02-27,"Malaysia",1,0,23,0,0,22,0,0
2020-02-28,"Malaysia",2,0,25,0,0,22,0,0
2020-02-29,"Malaysia",0,0,25,0,0,22,0,0
2020-03-01,"Malaysia",4,0,29,0,0,22,0,0
2020-03-02,"Malaysia",0,0,29,0,0,22,0,0
2020-03-03,"Malaysia",7,0,36,0,0,22,0,0
2020-03-04,"Malaysia",14,0,50,0,0,22,0,0
2020-03-05,"Malaysia",0,0,50,0,0,22,0,0
2020-03-06,"Malaysia",33,0,83,0,1,23,0,0
2020-03-07,"Malaysia",10,0,93,0,0,23,0,0
2020-03-08,"Malaysia",6,0,99,0,1,24,0,0
2020-03-09,"Malaysia",18,0,117,0,0,24,0,0
2020-03-10,"Malaysia",12,0,129,0,1,25,0,0
2020-03-11,"Malaysia",20,0,149,0,1,26,2,2
2020-03-12,"Malaysia",9,0,158,0,6,32,3,3
2020-03-13,"Malaysia",39,0,197,0,1,33,4,4
2020-03-14,"Malaysia",41,0,238,0,2,35,5,5
2020-03-15,"Malaysia",190,0,428,0,7,42,9,9
2020-03-16,"Malaysia",125,0,553,0,0,42,12,12
2020-03-17,"Malaysia",120,2,673,2,7,49,12,12
2020-03-18,"Malaysia",117,0,790,2,11,60,15,15
2020-03-19,"Malaysia",110,0,900,2,15,75,20,20
2020-03-20,"Malaysia",130,0,1030,2,12,87,26,26
2020-03-21,"Malaysia",153,2,1183,4,27,114,37,23
2020-03-22,"Malaysia",123,6,1306,10,25,139,46,22
2020-03-23,"Malaysia",212,4,1518,14,20,159,57,27
2020-03-24,"Malaysia",106,1,1624,15,24,183,64,27
2020-03-25,"Malaysia",172,4,1796,19,16,199,45,34
2020-03-26,"Malaysia",235,4,2031,23,16,215,45,32
2020-03-27,"Malaysia",130,3,2161,26,44,259,54,34
2020-03-28,"Malaysia",159,1,2320,27,61,320,73,54
2020-03-29,"Malaysia",150,7,2470,34,68,388,73,52
2020-03-30,"Malaysia",156,3,2626,37,91,479,94,62
2020-03-31,"Malaysia",140,6,2766,43,58,537,94,60
2020-04-01,"Malaysia",142,2,2908,45,108,645,102,66
2020-04-02,"Malaysia",208,5,3116,50,122,767,105,54
2020-04-03,"Malaysia",217,3,3333,53,60,827,108,54
2020-04-04,"Malaysia",150,4,3483,57,88,915,99,50
2020-04-05,"Malaysia",179,4,3662,61,90,1005,99,48
2020-04-06,"Malaysia",131,1,3793,62,236,1241,102,54
2020-04-07,"Malaysia",170,1,3963,63,80,1321,92,50
2020-04-08,"Malaysia",156,2,4119,65,166,1487,76,45
2020-04-09,"Malaysia",109,2,4228,67,121,1608,72,43
2020-04-10,"Malaysia",118,3,4346,70,222,1830,69,40
2020-04-11,"Malaysia",184,3,4530,73,165,1995,72,38
2020-04-12,"Malaysia",153,3,4683,76,113,2108,66,37
2020-04-13,"Malaysia",134,1,4817,77,168,2276,66,36
